Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",52.843750,-89.730000,180.000000,bottom
"C2","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",71.663750,-89.710000,180.000000,bottom
"C3","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",90.753750,-89.710000,180.000000,bottom
"C4","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",109.643750,-89.720000,180.000000,bottom
"C5","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",128.983750,-89.720000,180.000000,bottom
"C6","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",147.993750,-89.670000,180.000000,bottom
"C7","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",166.923750,-89.600000,180.000000,bottom
"C8","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",185.923750,-89.750000,180.000000,bottom
"C9","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",205.123750,-89.680000,180.000000,bottom
"C10","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",224.463750,-89.570000,180.000000,bottom
"C11","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",243.243750,-89.680000,180.000000,bottom
"C12","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",261.273750,-89.690000,180.000000,bottom
"C13","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",281.303750,-89.700000,180.000000,bottom
"C14","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",309.793750,-89.690000,180.000000,bottom
"C15","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",47.153750,-126.290000,180.000000,bottom
"C16","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",71.943750,-126.370000,180.000000,bottom
"C17","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",90.703750,-126.220000,180.000000,bottom
"C18","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",109.873750,-126.220000,180.000000,bottom
"C19","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",128.883750,-126.110000,180.000000,bottom
"C20","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",147.923750,-126.120000,180.000000,bottom
"C21","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",167.013750,-126.160000,180.000000,bottom
"C22","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",186.063750,-126.160000,180.000000,bottom
"C23","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",205.113750,-126.120000,180.000000,bottom
"C24","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",224.133750,-126.120000,180.000000,bottom
"C25","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",243.163750,-126.130000,180.000000,bottom
"C26","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",262.163750,-126.160000,180.000000,bottom
"C27","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",281.243750,-126.130000,180.000000,bottom
"C28","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",305.113750,-126.080000,180.000000,bottom
"C29","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",50.333750,-145.220000,180.000000,bottom
"C30","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",76.503750,-145.230000,180.000000,bottom
"C31","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",95.523750,-145.200000,180.000000,bottom
"C32","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",114.613750,-145.150000,180.000000,bottom
"C33","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",133.683750,-145.170000,180.000000,bottom
"C34","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",152.693750,-145.180000,180.000000,bottom
"C35","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",171.793750,-145.160000,180.000000,bottom
"C36","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",190.803750,-145.200000,180.000000,bottom
"C37","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",209.863750,-145.180000,180.000000,bottom
"C38","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",228.903750,-145.080000,180.000000,bottom
"C39","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",247.983750,-145.140000,180.000000,bottom
"C40","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",267.013750,-145.200000,180.000000,bottom
"C41","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",295.543750,-138.180000,180.000000,bottom
"C42","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",52.583750,-157.520000,180.000000,bottom
"C43","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",86.033750,-164.250000,180.000000,bottom
"C44","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",105.083750,-164.220000,180.000000,bottom
"C45","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",124.153750,-164.250000,180.000000,bottom
"C46","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",143.203750,-164.250000,180.000000,bottom
"C47","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",162.263750,-164.240000,180.000000,bottom
"C48","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",181.323750,-164.250000,180.000000,bottom
"C49","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",200.353750,-164.240000,180.000000,bottom
"C50","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",219.413750,-164.240000,180.000000,bottom
"C51","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",238.443750,-164.270000,180.000000,bottom
"C52","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",257.513750,-164.280000,180.000000,bottom
"C53","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",290.563750,-157.470000,180.000000,bottom
"C54","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",45.563750,-183.350000,180.000000,bottom
"C55","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",69.393750,-183.290000,180.000000,bottom
"C56","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",93.193750,-183.290000,180.000000,bottom
"C57","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",164.613750,-183.270000,180.000000,bottom
"C58","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",236.053750,-183.280000,180.000000,bottom
"C59","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",259.873750,-183.290000,180.000000,bottom
"C60","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",283.693750,-183.320000,180.000000,bottom
"C61","C","C_Disc_D3.8mm_W2.6mm_P2.50mm",307.493750,-183.270000,180.000000,bottom
"D123","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",60.888750,-103.040000,90.000000,bottom
"D124","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",79.938750,-103.040000,90.000000,bottom
"D125","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",98.988750,-103.040000,90.000000,bottom
"D126","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",118.038750,-103.040000,90.000000,bottom
"D127","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",137.088750,-103.040000,90.000000,bottom
"D128","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",156.138750,-103.040000,90.000000,bottom
