Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C7, C8, C9",C_Disc_D3.8mm_W2.6mm_P2.50mm,61,C,
C62,CP_Radial_D6.3mm_P2.50mm,1,C_Polarized_US,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D62, D63, D64, D65, D66, D67, D68, D69, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",MX_SK6812MINI-E_REV,61,SK6812MINI,
"D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D180, D181, D182, D183, D184",D_DO-35_SOD27_P7.62mm_Horizontal,62,1N4148,
DS1,LCD_OLED_128X64_1.3_I2C,1,OLED_128X64_1.3_I2C,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,Resistor,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,RotaryEncoder_Switch,
SW100,MX-Solderable-1U,1,:,
SW101,MX-Solderable-1U,1,"""",
SW102,MX-Solderable-2.25U,1,Enter,
SW103,MX-Solderable-2.25U,1,ShiftL,
SW104,MX-Solderable-1U,1,Z,
SW105,MX-Solderable-1U,1,X,
SW106,MX-Solderable-1U,1,C,
SW107,MX-Solderable-1U,1,V,
SW108,MX-Solderable-1U,1,B,
SW109,MX-Solderable-1U,1,N,
SW110,MX-Solderable-1U,1,M,
SW111,MX-Solderable-1U,1,<,
SW112,MX-Solderable-1U,1,>,
SW113,MX-Solderable-1U,1,?,
SW114,MX-Solderable-2.75U,1,ShiftR,
SW115,MX-Solderable-1.25U,1,CtrlL,
"SW116, SW120",MX-Solderable-1.25U,2,Win,
"SW117, SW119",MX-Solderable-1.25U,2,Alt,
SW118,MX-Solderable-6.25U,1,Space,
SW121,MX-Solderable-1.25U,1,Menu,
SW122,MX-Solderable-1.25U,1,CtrlR,
SW2,SW_PUSH_6mm_H4.3mm,1,SW_Push,
SW3,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,1,SW_SPDT,
SW62,MX-Solderable-1U,1,~,
SW63,MX-Solderable-1U,1,1,
SW64,MX-Solderable-1U,1,2,
SW65,MX-Solderable-1U,1,3,
SW66,MX-Solderable-1U,1,4,
SW67,MX-Solderable-1U,1,5,
SW68,MX-Solderable-1U,1,6,
SW69,MX-Solderable-1U,1,7,
SW70,MX-Solderable-1U,1,8,
SW71,MX-Solderable-1U,1,9,
SW72,MX-Solderable-1U,1,0,
SW73,MX-Solderable-1U,1,-,
SW74,MX-Solderable-1U,1,=,
SW75,MX-Solderable-2U,1,Backspace,
SW76,MX-Solderable-1.5U,1,Tab,
SW77,MX-Solderable-1U,1,Q,
SW78,MX-Solderable-1U,1,W,
SW79,MX-Solderable-1U,1,E,
SW80,MX-Solderable-1U,1,R,
SW81,MX-Solderable-1U,1,T,
SW82,MX-Solderable-1U,1,Y,
SW83,MX-Solderable-1U,1,U,
SW84,MX-Solderable-1U,1,I,
SW85,MX-Solderable-1U,1,O,
SW86,MX-Solderable-1U,1,P,
SW87,MX-Solderable-1U,1,[,
SW88,MX-Solderable-1U,1,],
SW89,MX-Solderable-1.5U,1,|,
SW90,MX-Solderable-1.75U,1,Caps Lock,
SW91,MX-Solderable-1U,1,A,
SW92,MX-Solderable-1U,1,S,
SW93,MX-Solderable-1U,1,D,
SW94,MX-Solderable-1U,1,F,
SW95,MX-Solderable-1U,1,G,
SW96,MX-Solderable-1U,1,H,
SW97,MX-Solderable-1U,1,J,
SW98,MX-Solderable-1U,1,K,
SW99,MX-Solderable-1U,1,L,
