Designator,Mid X,Mid Y,Rotation,Layer
C1,51.59375,-89.73,0.0,bottom
C10,223.21375,-89.57,0.0,bottom
C11,241.99375,-89.68,0.0,bottom
C12,260.02375,-89.69,0.0,bottom
C13,280.05375,-89.7,0.0,bottom
C14,308.54375,-89.69,0.0,bottom
C15,45.90375,-126.29,0.0,bottom
C16,70.69375,-126.37,0.0,bottom
C17,89.45375,-126.22,0.0,bottom
C18,108.62375,-126.22,0.0,bottom
C19,127.63375,-126.11,0.0,bottom
C2,70.41375,-89.71,0.0,bottom
C20,146.67375,-126.12,0.0,bottom
C21,165.76375,-126.16,0.0,bottom
C22,184.81375,-126.16,0.0,bottom
C23,203.86375,-126.12,0.0,bottom
C24,222.88375,-126.12,0.0,bottom
C25,241.91375,-126.13,0.0,bottom
C26,260.91375,-126.16,0.0,bottom
C27,279.99375,-126.13,0.0,bottom
C28,303.86375,-126.08,0.0,bottom
C29,49.08375,-145.22,0.0,bottom
C3,89.50375,-89.71,0.0,bottom
C30,75.25375,-145.23,0.0,bottom
C31,94.27375,-145.2,0.0,bottom
C32,113.36375,-145.15,0.0,bottom
C33,132.43375,-145.17,0.0,bottom
C34,151.44375,-145.18,0.0,bottom
C35,170.54375,-145.16,0.0,bottom
C36,189.55375,-145.2,0.0,bottom
C37,208.61375,-145.18,0.0,bottom
C38,227.65375,-145.08,0.0,bottom
C39,246.73375,-145.14,0.0,bottom
C4,108.39375,-89.72,0.0,bottom
C40,265.76375,-145.2,0.0,bottom
C41,294.29375,-138.18,0.0,bottom
C42,51.33375,-157.52,0.0,bottom
C43,84.78375,-164.25,0.0,bottom
C44,103.83375,-164.22,0.0,bottom
C45,122.90375,-164.25,0.0,bottom
C46,141.95375,-164.25,0.0,bottom
C47,161.01375,-164.24,0.0,bottom
C48,180.07375,-164.25,0.0,bottom
C49,199.10375,-164.24,0.0,bottom
C5,127.73375,-89.72,0.0,bottom
C50,218.16375,-164.24,0.0,bottom
C51,237.19375,-164.27,0.0,bottom
C52,256.26375,-164.28,0.0,bottom
C53,289.31375,-157.47,0.0,bottom
C54,44.31375,-183.35,0.0,bottom
C55,68.14375,-183.29,0.0,bottom
C56,91.94375,-183.29,0.0,bottom
C57,163.36375,-183.27,0.0,bottom
C58,234.80375,-183.28,0.0,bottom
C59,258.62375,-183.29,0.0,bottom
C6,146.74375,-89.67,0.0,bottom
C60,282.44375,-183.32,0.0,bottom
C61,306.24375,-183.27,0.0,bottom
C62,45.19375,-85.95,270.0,top
C7,165.67375,-89.6,0.0,bottom
C8,184.67375,-89.75,0.0,bottom
C9,203.87375,-89.68,0.0,bottom
D100,256.13625,-142.4125,0.0,top
D101,275.19625,-142.3625,0.0,top
D102,306.15625,-142.3925,0.0,top
D103,63.32625,-161.4625,0.0,top
D104,94.22625,-161.4625,0.0,top
D105,113.31625,-161.3925,0.0,top
D106,132.32625,-161.4425,0.0,top
D107,151.39625,-161.4425,0.0,top
D108,170.40625,-161.4425,0.0,top
D109,189.44625,-161.4625,0.0,top
D110,208.53375,-161.45,0.0,top
D111,227.54625,-161.4425,0.0,top
D112,246.63625,-161.4725,0.0,top
D113,265.70375,-161.46,0.0,top
D114,301.40375,-161.42,0.0,top
D115,53.91375,-180.52,0.0,top
D116,77.59625,-180.5025,0.0,top
D117,101.30625,-180.4925,0.0,top
D118,172.85625,-180.5025,0.0,top
D119,244.30625,-180.5025,0.0,top
D120,268.32625,-180.5025,0.0,top
D121,291.88625,-180.5225,0.0,top
D122,315.72625,-180.4825,0.0,top
D123,60.88875,-99.23,90.0,bottom
D124,79.93875,-99.23,90.0,bottom
D125,98.98875,-99.23,90.0,bottom
D126,118.03875,-99.23,90.0,bottom
D127,137.08875,-99.23,90.0,bottom
D128,156.13875,-99.23,90.0,bottom
D129,175.18875,-99.23,90.0,bottom
D130,194.23875,-99.23,90.0,bottom
D131,213.28875,-99.23,90.0,bottom
D132,232.33875,-99.23,90.0,bottom
D133,251.38875,-99.23,90.0,bottom
D134,270.43875,-99.23,90.0,bottom
D135,289.48875,-99.23,90.0,bottom
D136,327.58875,-99.23,90.0,bottom
D137,70.41375,-118.28,90.0,bottom
D138,89.46375,-118.28,90.0,bottom
D139,108.51375,-118.28,90.0,bottom
D140,127.56375,-118.28,90.0,bottom
D141,146.61375,-118.28,90.0,bottom
D142,165.66375,-118.28,90.0,bottom
D143,184.71375,-118.28,90.0,bottom
D144,203.76375,-118.28,90.0,bottom
D145,222.81375,-118.28,90.0,bottom
D146,241.86375,-118.28,90.0,bottom
D147,260.91375,-118.28,90.0,bottom
D148,279.855,-118.28,90.0,bottom
D149,299.01375,-118.28,90.0,bottom
D150,327.58875,-118.28,90.0,bottom
D151,75.17625,-137.33,90.0,bottom
D152,94.22625,-137.33,90.0,bottom
D153,113.27625,-137.33,90.0,bottom
D154,132.32625,-137.33,90.0,bottom
D155,151.37625,-137.33,90.0,bottom
D156,170.42625,-137.33,90.0,bottom
D157,189.47625,-137.33,90.0,bottom
D158,208.52625,-137.33,90.0,bottom
D159,227.57625,-137.33,90.0,bottom
D160,246.62625,-137.33,90.0,bottom
D161,265.67625,-137.33,90.0,bottom
D162,284.72625,-137.33,90.0,bottom
D163,327.58875,-137.33,90.0,bottom
D164,84.70125,-156.38,90.0,bottom
D165,103.75125,-156.38,90.0,bottom
D166,122.80125,-156.38,90.0,bottom
D167,141.85125,-156.38,90.0,bottom
D168,160.90125,-156.38,90.0,bottom
D169,179.95125,-156.38,90.0,bottom
D170,199.00125,-156.38,90.0,bottom
D171,218.05125,-156.38,90.0,bottom
D172,237.10125,-156.38,90.0,bottom
D173,256.15125,-156.38,90.0,bottom
D174,275.20125,-156.38,90.0,bottom
D175,327.58875,-156.38,90.0,bottom
D176,65.65125,-175.43,90.0,bottom
D177,89.46375,-175.43,90.0,bottom
D178,113.27625,-175.43,90.0,bottom
D179,232.33875,-175.43,90.0,bottom
D180,256.15125,-175.43,90.0,bottom
D181,279.96375,-175.43,90.0,bottom
D182,303.77625,-175.43,90.0,bottom
D183,327.58875,-175.43,90.0,bottom
D184,371.8,-113.4,180.0,top
D62,51.43375,-104.35,0.0,top
D63,70.45375,-104.26,0.0,top
D64,89.47625,-104.2925,0.0,top
D65,108.60625,-104.3625,0.0,top
D66,127.60625,-104.3225,0.0,top
D67,146.63625,-104.2525,0.0,top
D68,165.67625,-104.2525,0.0,top
D69,184.69625,-104.2325,0.0,top
D70,203.76375,-104.27,0.0,top
D71,222.83625,-104.2625,0.0,top
D72,241.87625,-104.2725,0.0,top
D73,260.89625,-104.3025,0.0,top
D74,279.95625,-104.3025,0.0,top
D75,308.53875,-104.31,0.0,top
D76,56.12625,-123.36,0.0,top
D77,79.93875,-123.36,0.0,top
D78,98.96625,-123.3325,0.0,top
D79,118.07375,-123.32,0.0,top
D80,137.11625,-123.2825,0.0,top
D81,156.15625,-123.3425,0.0,top
